model,cv_r2,cv_rmse,val_r2,val_rmse,val_mae,val_mape,test_r2,test_rmse,test_mae,test_mape
Median Predictor,-0.003±0.003,89.394±4.098,-0.0,89.13,61.5,52.06,-0.0,91.77,62.02,52.53
Linear Regression,0.698±0.015,53.522±1.753,0.69,58.49,34.63,25.53,0.697,55.0,33.85,24.62
Ridge Regression,0.697±0.015,53.626±1.598,0.691,58.45,34.53,25.46,0.698,54.91,33.75,24.58
Ridge (tuned),0.696±0.015,53.804±1.396,0.693,58.5,34.48,25.31,0.698,55.07,33.84,24.64
Random Forest,0.711±0.017,54.288±2.376,0.716,53.66,32.24,24.11,0.717,56.85,33.31,23.82
Random Forest (tuned),0.719±0.016,53.578±2.594,0.727,52.65,31.76,23.69,0.723,56.19,32.65,23.47
XGBoost (default),0.768±0.015,48.638±2.025,0.773,47.4,28.36,21.4,0.769,50.59,29.34,21.17
XGBoost (tuned),0.769±0.014,48.352±1.761,0.779,46.16,27.98,21.17,0.774,49.82,29.18,20.97
LightGBM (default),0.766±0.012,48.606±1.919,0.768,47.73,28.78,21.62,0.774,49.8,29.1,20.97
LightGBM (tuned),0.775±0.015,47.912±1.859,0.78,47.08,27.99,20.92,0.777,49.54,28.6,20.63
Stacking (RF + XGB + LGBM),—,—,0.775,47.46,28.67,21.38,0.772,49.03,29.1,21.05
