model,cv_r2,cv_rmse,val_r2,val_rmse,val_mae,val_mape,test_r2,test_rmse,test_mae,test_mape
Median Predictor,-0.003±0.003,89.394±4.098,-0.0,89.13,61.5,52.06,-0.0,91.77,62.02,52.53
Linear Regression,0.699±0.015,53.238±1.696,0.673,57.92,34.96,26.36,0.686,55.76,34.54,25.55
Ridge Regression,0.699±0.015,53.248±1.614,0.675,57.83,34.89,26.31,0.686,55.72,34.55,25.56
Ridge (tuned),0.698±0.014,53.388±1.465,0.677,57.8,34.75,26.07,0.687,55.78,34.63,25.6
Random Forest,0.713±0.011,54.06±2.833,0.709,53.96,32.59,24.42,0.69,57.58,33.86,24.61
Random Forest (tuned),0.728±0.008,53.146±2.885,0.726,52.7,31.51,23.79,0.712,56.47,32.73,23.7
XGBoost (default),0.775±0.01,48.082±2.277,0.774,46.56,28.06,21.43,0.763,51.38,29.51,21.28
XGBoost (tuned),0.779±0.011,47.32±2.154,0.78,46.24,27.94,21.04,0.769,49.87,28.95,21.15
LightGBM (default),0.772±0.01,48.39±2.084,0.772,46.98,28.61,21.49,0.761,50.7,29.53,21.46
LightGBM (tuned),0.775±0.011,47.552±2.034,0.778,46.44,28.02,21.07,0.769,49.56,29.01,21.14
Stacking (RF + XGB + LGBM),—,—,0.774,46.86,28.3,21.38,0.766,49.79,29.05,21.12
